Die Breme Stadtmusiketan,Richard Rudolf,1,Voces Blancas,Estante1 - G4
Laurentius von Schinfis,Gerald Wirth,1,Voces Blancas,Estante1 - G4
Die ihr des uniermeblicken weltalls schopfer ehix,Gerald Wirth,1,Voces Blancas,Estante1 - G4
Duermete apegado a mi,A Grau,1,Voces Blancas,Estante1 - G4
Duerme negrita,Yosvany Estepe,10,Voces Blancas,Estante1 - G4
Do Page,Heitor Villa-Lobos,1,Voces Blancas,Estante1 - G4
Acto del arbol,Alberto Grau,1,SCTB - Madrigal,Estante1 - G4
La mañana,Antonio Lauro,1,Voces Blancas - Madrigal,Estante1 - G4
El despertar de la isla,Carreño I,2,Voces Blancas,Estante1 - G4
El barquito,Albert Gratt,50,Voces Blancas,Estante1 - G4
Compae Chipuco,Alberto Cardonel,20,Voces Blancas,Estante1 - G4
La Doncella ,S. Madariaga,3,Voces Blancas,Estante1 - G4
Cing Chansons Folkloriques d' haiti,Electo Silva,20,Voces Blancas,Estante1 - G4
Canco' de bres por a una princesa negra,A Rodriguez,5,Voces Blancas,Estante1 - G4
Cancion del pais con rey,David Chericion,3,Voces Blancas,Estante1 - G4
"Come, Ye makers of song",Ruth watson Henderson,20,Voces Blancas,Estante1 - G4
Canto a merida,Argenis Rivera,20,Voces Blancas,Estante1 - G4
Dindorin Dorolindo,Electo Silva,20,Voces Blancas,Estante1 - G4
Las nubes,Eduardo Serrano,1,Voces Blancas,Estante1 - G4
La suegra,Gilberto Rebolledo,30,Voces Blancas,Estante1 - G4
Las lomas del viento,Ruben Rivas,20,Voces Blancas,Estante1 - G4
Las olas del mar,C .S. Alemandri,1,Voces Blancas,Estante1 - G4
La sombra salio del monte,Antonio Estevez,1,Voces Blancas,Estante1 - G4
Dulcis Christe,Mi chelangelo Grancini,10,Voces Blancas,Estante1 - G4
Los tres Tambores,Anónimo,3,Voces Blancas,Estante1 - G4
Las pastores bailan ,Miguel Astor,1,SCTB - Madrigal,Estante1 - G4
Ergen deda,Petar Liondev,3,Voces Blancas,Estante1 - G4
Balladi,Aulis Sallinen,20,Voces Blancas,Estante1 - G4
A la bandera de Venezuela,Francisco Alraldi,8,Voces Blancas,Estante1 - G4
Ach! Synku synku,Donald Patriquin,9,Voces Blancas,Estante1 - G4
Bendito amor,Pablo Fernandez Badillo,1,Voces Blancas,Estante1 - G4
"Ah Robin, gentle Robin",William Camysh,50,Voces Blancas,Estante1 - G4
Branquias quisiera tener,Dante Andreo,1,Voces Blancas,Estante1 - G4
Brindis,Wolfgang Amadeus Mozart,3,Voces Blancas,Estante1 - G4
Deep river,Donald Patriquin,8,Voces Blancas,Estante1 - G4
Bullerengue,Jose  Antonio Rincón,12,Voces Blancas,Estante1 - G4
Bolingo,Bryan Welton,5,Voces Blancas,Estante1 - G4
Blanquisima gaviota,Alí Primera,7,Voces Blancas,Estante1 - G4
Brujas y hadas,Alberto Grau,2,Voces Blancas,Estante1 - G4
Bitano baraguajiye,Ruben Rivas,1,Voces Blancas,Estante1 - G4
A un panal de rica miel,Alberto Grau,1,Voces Blancas,Estante1 - G4
A don Antonio Picon,Luis Fernando Moncada,1,Voces Blancas,Estante1 - G4
Kontretanze KV 609,Wolfgang Amadeus Mozart,20,Voces Blancas,Estante1 - G4
Amor de conuco,Silvia Andrades Grassi,17,Voces Blancas,Estante1 - G4
El dia (movimiento),Eduardo Serrano,1,Voces Blancas,Estante1 - G4
Aglepta,Arne Melinas,1,Voces Blancas,Estante1 - G4
Adivinanzas del mar,Gisela Hernandez,3,Voces Blancas,Estante1 - G4
Huaino,S. Eisennstein,1,Voces Blancas,Estante1 - G4
Hermana Daniela,Anónimo,1,Voces Blancas,Estante1 - G4
Herbst,Arnold Mendelssohn,10,Voces Blancas,Estante1 - G4
La chiva,Anónimo,1,Voces Blancas,Estante1 - G4
Explosion,Nancy Telfer,10,Voces Blancas,Estante1 - G4
For the beauty of the earth,John Rultter,2,Voces Blancas,Estante1 - G4
La lluvia,Meldelssohn,3,Voces Blancas,Estante1 - G4
